dm-deathray "Deathray Deluxe"
dm-dynamo "The Dynamo"
dm-extermination "Final Extermination"
dm-turbo "Turbocharger"
dm-dismal "Dismal Outpost"
dm-babel "Tower of Babel"
dm-violator "The Violator"
dm-wasteland "The Wasteland"
dm-gauntlet "Gauntlet Chasm"
dm-bloodfactory "Blood Factory"
dm-neptune "Neptune's Lost City"
dm-crucible "Crucible of Death"
dm-purgatory "Purgatory"
dm-annihilation "Total Annihilation"
dm-leviathan "The Leviathan"
ctf-cryogenic "Dawn Of Cryogenics CTF"
ctf-violator "The Violator CTF"
ctf-extermination "Final Extermination CTF"
ctf-frost "Frost Byte CTF"
ctf-zion "Last Days Of Zion CTF"
ctf-abyss "The Abyss Of Blood"
ctf-terminal "Terminal City"
ctf-dynasty "Dynasty"
tac-extermination "Final Extermination"
tac-impact "Deep Impact"
0
